date,strategy,ticker,weight,predicted_return_21d,actual_future_return_21d,strategy_note
2025-08-29,pto_markowitz,GLD,0.0,-0.030529366806149483,0.11758415400981903,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-08-29,pto_markowitz,VNQ,0.2556765031660428,0.025393333286046982,0.0005763974622823298,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-08-29,pto_markowitz,DBC,0.09413793996572474,-0.00822126492857933,0.014407971873879433,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-08-29,spo_plus,SPY,0.0,-0.12981855869293213,0.03562041372060776,PyEPO SPO+ loss with MaxReturn optimizer
2025-08-29,spo_plus,QQQ,1.0,1.5646361112594604,0.053762152791023254,PyEPO SPO+ loss with MaxReturn optimizer
2025-08-29,spo_plus,TLT,0.0,0.44482600688934326,0.03590966388583183,PyEPO SPO+ loss with MaxReturn optimizer
2025-08-29,spo_plus,GLD,0.0,-1.2184088230133057,0.11758415400981903,PyEPO SPO+ loss with MaxReturn optimizer
2025-08-29,spo_plus,VNQ,0.0,-1.7270903587341309,0.0005763974622823298,PyEPO SPO+ loss with MaxReturn optimizer
2025-08-29,spo_plus,DBC,0.0,0.44917523860931396,0.014407971873879433,PyEPO SPO+ loss with MaxReturn optimizer
2025-08-29,spo_plus_fee,SPY,2.1564464977130224e-16,-0.12981855869293213,0.03562041372060776,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-08-29,spo_plus_fee,QQQ,0.9999999999999978,1.5646361112594604,0.053762152791023254,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-08-29,spo_plus_fee,TLT,1.2212453270876722e-15,0.44482600688934326,0.03590966388583183,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-08-29,spo_plus_fee,GLD,5.390859888356575e-16,-1.2184088230133057,0.11758415400981903,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-08-29,spo_plus_fee,VNQ,3.170413839106875e-16,-1.7270903587341309,0.0005763974622823298,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-08-29,spo_plus_fee,DBC,3.410913507531298e-17,0.44917523860931396,0.014407971873879433,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-08-29,spo_plus_turnover_l2,SPY,0.0,-0.12981855869293213,0.03562041372060776,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-08-29,spo_plus_turnover_l2,QQQ,0.9999999999999998,1.5646361112594604,0.053762152791023254,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-08-29,spo_plus_turnover_l2,TLT,0.0,0.44482600688934326,0.03590966388583183,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-08-29,spo_plus_turnover_l2,GLD,2.483953188703253e-16,-1.2184088230133057,0.11758415400981903,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-08-29,spo_plus_turnover_l2,VNQ,0.0,-1.7270903587341309,0.0005763974622823298,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-08-29,spo_plus_turnover_l2,DBC,0.0,0.44917523860931396,0.014407971873879433,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-08-29,equal_weight_6etf,SPY,0.16666666666666666,,0.03562041372060776,benchmark
2025-08-29,equal_weight_6etf,QQQ,0.16666666666666666,,0.053762152791023254,benchmark
2025-08-29,equal_weight_6etf,TLT,0.16666666666666666,,0.03590966388583183,benchmark
2025-08-29,equal_weight_6etf,GLD,0.16666666666666666,,0.11758415400981903,benchmark
2025-08-29,equal_weight_6etf,VNQ,0.16666666666666666,,0.0005763974622823298,benchmark
2025-08-29,equal_weight_6etf,DBC,0.16666666666666666,,0.014407971873879433,benchmark
2025-08-29,spy_buy_hold,SPY,1.0,,0.03562041372060776,benchmark
2025-08-29,spy_buy_hold,QQQ,0.0,,0.053762152791023254,benchmark
2025-08-29,spy_buy_hold,TLT,0.0,,0.03590966388583183,benchmark
2025-08-29,spy_buy_hold,GLD,0.0,,0.11758415400981903,benchmark
2025-08-29,spy_buy_hold,VNQ,0.0,,0.0005763974622823298,benchmark
2025-08-29,spy_buy_hold,DBC,0.0,,0.014407971873879433,benchmark
2025-09-30,pto_markowitz,SPY,0.0,0.013595976866781712,0.031838227063417435,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-09-30,pto_markowitz,QQQ,0.8253695933738787,0.03896892070770264,0.058963652700185776,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-09-30,pto_markowitz,TLT,0.17463040662612092,0.008619062602519989,0.022793596610426903,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-09-30,pto_markowitz,GLD,0.0,-0.018369119614362717,0.02118321880698204,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-09-30,pto_markowitz,VNQ,4.2392545542271856e-16,-0.0033150138333439827,-0.03161235526204109,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-09-30,pto_markowitz,DBC,2.5459422523252064e-17,-0.017849557101726532,0.007989340461790562,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-09-30,spo_plus,SPY,0.0,-0.5125312805175781,0.031838227063417435,PyEPO SPO+ loss with MaxReturn optimizer
2025-09-30,spo_plus,QQQ,1.0,0.6030908823013306,0.058963652700185776,PyEPO SPO+ loss with MaxReturn optimizer
2025-09-30,spo_plus,TLT,0.0,-0.05889864265918732,0.022793596610426903,PyEPO SPO+ loss with MaxReturn optimizer
2025-09-30,spo_plus,GLD,0.0,-1.3398926258087158,0.02118321880698204,PyEPO SPO+ loss with MaxReturn optimizer
2025-09-30,spo_plus,VNQ,0.0,0.5662252306938171,-0.03161235526204109,PyEPO SPO+ loss with MaxReturn optimizer
2025-09-30,spo_plus,DBC,0.0,0.20349127054214478,0.007989340461790562,PyEPO SPO+ loss with MaxReturn optimizer
2025-09-30,spo_plus_fee,SPY,2.1564464977130224e-16,-0.5125312805175781,0.031838227063417435,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-09-30,spo_plus_fee,QQQ,0.9999999999999978,0.6030908823013306,0.058963652700185776,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-09-30,spo_plus_fee,TLT,1.2212453270876722e-15,-0.05889864265918732,0.022793596610426903,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-09-30,spo_plus_fee,GLD,5.390859888356575e-16,-1.3398926258087158,0.02118321880698204,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-09-30,spo_plus_fee,VNQ,3.170413839106875e-16,0.5662252306938171,-0.03161235526204109,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-09-30,spo_plus_fee,DBC,3.410913507531298e-17,0.20349127054214478,0.007989340461790562,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-09-30,spo_plus_turnover_l2,SPY,0.0,-0.5125312805175781,0.031838227063417435,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-09-30,spo_plus_turnover_l2,QQQ,0.9999999999999998,0.6030908823013306,0.058963652700185776,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-09-30,spo_plus_turnover_l2,TLT,0.0,-0.05889864265918732,0.022793596610426903,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-09-30,spo_plus_turnover_l2,GLD,2.483953188703253e-16,-1.3398926258087158,0.02118321880698204,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-09-30,spo_plus_turnover_l2,VNQ,0.0,0.5662252306938171,-0.03161235526204109,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-09-30,spo_plus_turnover_l2,DBC,0.0,0.20349127054214478,0.007989340461790562,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-09-30,equal_weight_6etf,SPY,0.16666666666666666,,0.031838227063417435,benchmark
2025-09-30,equal_weight_6etf,QQQ,0.16666666666666666,,0.058963652700185776,benchmark
2025-09-30,equal_weight_6etf,TLT,0.16666666666666666,,0.022793596610426903,benchmark
2025-09-30,equal_weight_6etf,GLD,0.16666666666666666,,0.02118321880698204,benchmark
2025-09-30,equal_weight_6etf,VNQ,0.16666666666666666,,-0.03161235526204109,benchmark
2025-09-30,equal_weight_6etf,DBC,0.16666666666666666,,0.007989340461790562,benchmark
2025-09-30,spy_buy_hold,SPY,1.0,,0.031838227063417435,benchmark
2025-09-30,spy_buy_hold,QQQ,0.0,,0.058963652700185776,benchmark
2025-09-30,spy_buy_hold,TLT,0.0,,0.022793596610426903,benchmark
2025-09-30,spy_buy_hold,GLD,0.0,,0.02118321880698204,benchmark
2025-09-30,spy_buy_hold,VNQ,0.0,,-0.03161235526204109,benchmark
2025-09-30,spy_buy_hold,DBC,0.0,,0.007989340461790562,benchmark
2025-10-31,pto_markowitz,SPY,6.930650978999946e-17,-0.02014951966702938,-0.0007770256488583982,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-10-31,pto_markowitz,QQQ,0.0,-0.04127943888306618,-0.01123899221420288,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-10-31,pto_markowitz,TLT,0.2531168885171903,0.011249363422393799,-0.009313123300671577,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-10-31,pto_markowitz,GLD,0.0,-0.027013491839170456,0.051939573138952255,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-10-31,pto_markowitz,VNQ,0.40256386857584336,0.038415879011154175,0.008858546614646912,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-10-31,pto_markowitz,DBC,0.34431924290696625,0.017701296135783195,0.006118933670222759,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-10-31,spo_plus,SPY,0.0,0.13213148713111877,-0.0007770256488583982,PyEPO SPO+ loss with MaxReturn optimizer
2025-10-31,spo_plus,QQQ,0.0,-1.6435796022415161,-0.01123899221420288,PyEPO SPO+ loss with MaxReturn optimizer
2025-10-31,spo_plus,TLT,1.0,2.2708821296691895,-0.009313123300671577,PyEPO SPO+ loss with MaxReturn optimizer
2025-10-31,spo_plus,GLD,0.0,0.6369657516479492,0.051939573138952255,PyEPO SPO+ loss with MaxReturn optimizer
2025-10-31,spo_plus,VNQ,0.0,-1.362389087677002,0.008858546614646912,PyEPO SPO+ loss with MaxReturn optimizer
2025-10-31,spo_plus,DBC,0.0,0.4407862722873688,0.006118933670222759,PyEPO SPO+ loss with MaxReturn optimizer
2025-10-31,spo_plus_fee,SPY,0.0,0.13213148713111877,-0.0007770256488583982,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-10-31,spo_plus_fee,QQQ,1.7072535988936985e-15,-1.6435796022415161,-0.01123899221420288,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-10-31,spo_plus_fee,TLT,0.9999999999999951,2.2708821296691895,-0.009313123300671577,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-10-31,spo_plus_fee,GLD,0.0,0.6369657516479492,0.051939573138952255,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-10-31,spo_plus_fee,VNQ,0.0,-1.362389087677002,0.008858546614646912,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-10-31,spo_plus_fee,DBC,3.1534004320900856e-15,0.4407862722873688,0.006118933670222759,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-10-31,spo_plus_turnover_l2,SPY,1.6027876907486445e-16,0.13213148713111877,-0.0007770256488583982,PyEPO SPO+ loss with turnover and L2 weight regularization
