Date,SPY,QQQ,TLT,GLD,VNQ,DBC
2018-06-05,243.10342407226562,165.988037109375,95.17726135253906,122.8499984741211,58.58806610107422,14.989607810974121
2018-06-06,245.13584899902344,166.95645141601562,94.4060287475586,122.91999816894531,58.727684020996094,15.040336608886719
2018-06-07,245.10940551757812,165.5988311767578,95.32039642333984,122.86000061035156,58.727684020996094,15.099514961242676
2018-06-08,245.8339385986328,165.6083221435547,95.0341567993164,123.01000213623047,58.94081497192383,15.091060638427734
2018-06-11,246.16090393066406,166.0545196533203,94.85923767089844,123.2300033569336,58.85263442993164,15.082608222961426
2018-06-12,246.47911071777344,166.92794799804688,94.8830795288086,122.81999969482422,59.205421447753906,15.074151039123535
2018-06-13,245.69259643554688,166.91847229003906,94.83538818359375,123.19000244140625,58.05158233642578,15.133332252502441
2018-06-14,246.3112030029297,168.6083526611328,95.6225357055664,123.37999725341797,58.6027717590332,14.96424674987793
2018-06-15,245.9970245361328,168.0196990966797,95.7099838256836,121.33999633789062,58.56600570678711,14.6007080078125
2018-06-18,245.4910125732422,167.9226531982422,95.6225357055664,121.11000061035156,58.58234405517578,14.727522850036621
2018-06-19,244.55003356933594,167.44692993164062,96.1790542602539,120.80000305175781,58.52299118041992,14.575345039367676
2018-06-20,244.9672393798828,168.63623046875,95.33628845214844,120.26000213623047,59.17573165893555,14.558435440063477
2018-06-21,243.431640625,167.17108154296875,95.8371810913086,120.05000305175781,59.45759963989258,14.448528289794922
2018-06-22,243.8754425048828,166.80001831054688,95.82923889160156,120.33999633789062,59.92486572265625,14.735978126525879
2018-06-25,240.55555725097656,163.0419464111328,96.04389190673828,119.88999938964844,59.76911544799805,14.566887855529785
2018-06-26,241.08816528320312,163.70802307128906,96.1790542602539,119.26000213623047,59.961971282958984,14.710614204406738
2018-06-27,239.0909423828125,161.48165893554688,97.08544158935547,118.58000183105469,59.73202133178711,14.786703109741211
2018-06-28,240.45797729492188,162.87075805664062,97.1092529296875,118.22000122070312,60.266075134277344,14.778249740600586
2018-06-29,240.8041534423828,163.3083953857422,96.77538299560547,118.6500015258789,60.41444778442383,14.94733715057373
2018-07-02,241.31893920898438,164.4025421142578,96.69966125488281,117.45999908447266,60.08065414428711,14.634525299072266
2018-07-03,240.46678161621094,162.49966430664062,97.21762084960938,118.6500015258789,60.53309631347656,14.617616653442383
2018-07-05,242.42857360839844,164.5166473388672,97.49650573730469,119.05000305175781,61.25259017944336,14.70215892791748
2018-07-06,244.47903442382812,167.07594299316406,97.81529235839844,118.86000061035156,61.57893753051758,14.769794464111328
2018-07-09,246.6804656982422,168.5791473388672,97.18572998046875,119.1500015258789,61.08940124511719,14.845885276794434
2018-07-10,247.56808471679688,168.70281982421875,97.17776489257812,118.93000030517578,61.21550369262695,14.812067985534668
2018-07-11,245.7572784423828,167.8466033935547,97.55230712890625,117.63999938964844,61.015235900878906,14.29634952545166
2018-07-12,247.98533630371094,170.73886108398438,97.54435729980469,118.12999725341797,61.20066833496094,14.372440338134766
2018-07-13,248.1805877685547,170.8815460205078,97.79137420654297,117.61000061035156,61.015235900878906,14.397801399230957
2018-07-16,247.95863342285156,170.4724578857422,97.38494110107422,117.55000305175781,60.688865661621094,14.09344482421875
2018-07-17,248.96170043945312,171.5094451904297,97.20169067382812,116.27999877929688,60.28832244873047,14.11035442352295
2018-07-18,249.4854736328125,171.18603515625,96.81122589111328,116.30999755859375,60.02131652832031,14.237170219421387
2018-07-19,248.5445556640625,170.32969665527344,97.42478942871094,115.80999755859375,60.72595977783203,14.220259666442871
2018-07-20,248.26055908203125,170.29173278808594,96.22948455810547,116.55999755859375,60.13998794555664,14.3217134475708
2018-07-23,248.7220916748047,170.83399963378906,95.04217529296875,116.0,60.013893127441406,14.372440338134766
2018-07-24,249.97361755371094,171.53802490234375,95.36890411376953,116.04000091552734,59.70975112915039,14.448528289794922
2018-07-25,252.1040802001953,173.935546875,95.21747589111328,116.68000030517578,60.184486389160156,14.642977714538574
2018-07-26,251.5093536376953,171.30014038085938,95.03421783447266,115.7699966430664,60.38475799560547,14.642977714538574
2018-07-27,249.80506896972656,168.98822021484375,95.19356536865234,115.83000183105469,59.73945617675781,14.583800315856934
2018-07-30,248.5001220703125,166.60023498535156,94.86687469482422,115.6500015258789,59.77654266357422,14.668342590332031
2018-07-31,249.72509765625,167.8751220703125,95.38481903076172,115.98999786376953,60.77788543701172,14.583800315856934
2018-08-01,249.307861328125,168.5125732421875,94.60772705078125,115.13999938964844,61.20808792114258,14.372440338134766
2018-08-02,250.6660614013672,170.80540466308594,94.7435073852539,114.5199966430664,60.963321685791016,14.456982612609863
2018-08-03,251.74017333984375,171.3286895751953,95.2146987915039,114.91999816894531,61.623443603515625,14.507709503173828
2018-08-06,252.66331481933594,172.3372039794922,95.2706298828125,114.33000183105469,61.54186248779297,14.533072471618652
2018-08-07,253.49771118164062,172.965087890625,94.77543640136719,114.58999633789062,61.43060302734375,14.642977714538574
2018-08-08,253.39114379882812,173.1744384765625,94.87129211425781,114.91000366210938,61.074554443359375,14.465438842773438
2018-08-09,253.04486083984375,173.0697479248047,95.669921875,114.73999786376953,61.10424041748047,14.406256675720215
2018-08-10,251.34957885742188,171.74728393554688,96.36479949951172,114.69000244140625,60.63692855834961,14.406256675720215
2018-08-13,250.4086151123047,171.55703735351562,96.16510772705078,112.95999908447266,60.51826858520508,14.330166816711426
2018-08-14,252.00634765625,172.6321563720703,95.949462890625,113.06999969482422,60.81495666503906,14.35552978515625
2018-08-15,250.12457275390625,170.51998901367188,96.50849914550781,111.19000244140625,61.282257080078125,14.042719841003418
2018-08-16,252.14842224121094,171.0813751220703,96.50054931640625,111.0999984741211,61.77922439575195,14.152626037597656
2018-08-17,253.0361328125,171.11941528320312,96.62032318115234,112.12999725341797,62.3503532409668,14.211806297302246
2018-08-20,253.57760620117188,170.9672088623047,97.26725006103516,112.69000244140625,62.39486312866211,14.237170219421387
2018-08-21,254.17233276367188,171.59515380859375,96.93978118896484,113.0199966430664,62.01658630371094,14.262531280517578
2018-08-22,254.02145385742188,172.2611083984375,97.32315063476562,113.2699966430664,61.66798400878906,14.465438842773438
2018-08-23,253.6842041015625,172.01373291015625,97.4748764038086,112.19999694824219,61.51219177246094,14.44007396697998
2018-08-24,255.21080017089844,173.61209106445312,97.66653442382812,114.16000366210938,61.87565612792969,14.549981117248535
