date,ticker,future_return_21d,future_rank_21d,label_outperform_median_21d,label_top2_21d,label_positive_21d
2020-05-21,GLD,0.017503829509341262,5,0,0,1
2020-05-21,QQQ,0.07995412624904685,2,1,1,1
2020-05-21,SPY,0.05801297390796445,4,0,0,1
2020-05-21,TLT,-0.011796679803195098,6,0,0,0
2020-05-21,VNQ,0.10221800337835218,1,1,1,1
2020-05-22,DBC,0.0735928833981383,3,1,0,1
2020-05-22,GLD,0.020035468899922693,5,0,0,1
2020-05-22,QQQ,0.08539901977497544,1,1,1,1
2020-05-22,SPY,0.06086925546647337,4,0,0,1
2020-05-22,TLT,-0.024419474725833168,6,0,0,0
2020-05-22,VNQ,0.08305012749808816,2,1,1,1
2020-05-26,DBC,0.0359897725111582,2,1,1,1
2020-05-26,GLD,0.031139253687872737,3,1,0,1
2020-05-26,QQQ,0.06590039529945102,1,1,1,1
2020-05-26,SPY,0.021225806150831694,4,0,0,1
2020-05-26,TLT,-0.0005535798839694239,6,0,0,0
2020-05-26,VNQ,0.01428240401786729,5,0,0,1
2020-05-27,DBC,0.05902778207225534,2,1,1,1
2020-05-27,GLD,0.02866367158404004,3,1,0,1
2020-05-27,QQQ,0.0702064069420647,1,1,1,1
2020-05-27,SPY,0.017041424441576636,4,0,0,1
2020-05-27,TLT,0.004172260191241506,6,0,0,1
2020-05-27,VNQ,0.007177205373345208,5,0,0,1
2020-05-28,DBC,0.04058715126051271,2,1,1,1
2020-05-28,GLD,0.029804551255547818,3,1,0,1
2020-05-28,QQQ,0.046296302021023195,1,1,1,1
2020-05-28,SPY,-0.005279986096821898,5,0,0,0
2020-05-28,TLT,0.018668169428914583,4,0,0,1
2020-05-28,VNQ,-0.016826970438852173,6,0,0,0
2020-05-29,DBC,0.03989816283544534,2,1,1,1
2020-05-29,GLD,0.022834700982628187,3,1,0,1
2020-05-29,QQQ,0.04243349539574415,1,1,1,1
2020-05-29,SPY,0.0048625242973487914,6,0,0,1
2020-05-29,TLT,0.008262913346103629,5,0,0,1
2020-05-29,VNQ,0.012249800276680212,4,0,0,1
2020-06-01,DBC,0.03881849905799184,2,1,1,1
2020-06-01,GLD,0.022668895099976494,3,1,0,1
2020-06-01,QQQ,0.05968820468068281,1,1,1,1
2020-06-01,SPY,0.013638127258402966,4,0,0,1
2020-06-01,TLT,0.01016787773845862,5,0,0,1
2020-06-01,VNQ,0.0011053338767592624,6,0,0,1
2020-06-02,DBC,0.035893203140059615,2,1,1,1
2020-06-02,GLD,0.024723178737844798,3,1,0,1
2020-06-02,QQQ,0.06491371527061873,1,1,1,1
2020-06-02,SPY,0.012355530392430092,5,0,0,1
2020-06-02,TLT,0.01188494713105448,6,0,0,1
2020-06-02,VNQ,0.01597227269003154,4,0,0,1
2020-06-03,DBC,0.04006679949839986,3,1,0,1
2020-06-03,GLD,0.0462405347230177,2,1,1,1
2020-06-03,QQQ,0.06733947915718219,1,1,1,1
2020-06-03,SPY,0.004561651795437216,5,0,0,1
2020-06-03,TLT,0.026587785290927757,4,0,0,1
2020-06-03,VNQ,-0.018402609680625348,6,0,0,0
2020-06-04,DBC,0.03973521349978926,3,1,0,1
2020-06-04,GLD,0.04154264012247899,2,1,1,1
2020-06-04,QQQ,0.10130359989056004,1,1,1,1
2020-06-04,SPY,0.02275594507208467,5,0,0,1
2020-06-04,TLT,0.03740389714181713,4,0,0,1
2020-06-04,VNQ,-0.009033626990824106,6,0,0,0
2020-06-05,DBC,0.020292257544120673,4,0,0,1
2020-06-05,GLD,0.06980570320075352,2,1,1,1
2020-06-05,QQQ,0.07245287371853926,1,1,1,1
2020-06-05,SPY,-0.013087032168618506,5,0,0,0
2020-06-05,TLT,0.05953323279202105,3,1,0,1
2020-06-05,VNQ,-0.06415034149403964,6,0,0,0
2020-06-08,DBC,0.04003269744228222,4,0,0,1
2020-06-08,GLD,0.06492608964395208,2,1,1,1
2020-06-08,QQQ,0.078212053349213,1,1,1,1
2020-06-08,SPY,-0.017415526284865757,5,0,0,0
2020-06-08,TLT,0.051260007208358216,3,1,0,1
2020-06-08,VNQ,-0.08807435588886592,6,0,0,0
2020-06-09,DBC,0.024429991120407557,4,0,0,1
2020-06-09,GLD,0.05190382401769056,3,1,0,1
2020-06-09,QQQ,0.0794734752791435,1,1,1,1
2020-06-09,SPY,-0.015669358517621856,5,0,0,0
2020-06-09,TLT,0.05600349365128521,2,1,1,1
2020-06-09,VNQ,-0.07848660858159906,6,0,0,0
2020-06-10,DBC,0.024271869196046847,4,0,0,1
2020-06-10,GLD,0.03435834728580689,3,1,0,1
2020-06-10,QQQ,0.07395442600784286,1,1,1,1
2020-06-10,SPY,-3.923476187417396e-05,5,0,0,0
2020-06-10,TLT,0.035346419284255415,2,1,1,1
2020-06-10,VNQ,-0.051531935365171866,6,0,0,0
2020-06-11,DBC,0.0476588364418995,3,1,0,1
2020-06-11,GLD,0.043167649074348,4,0,0,1
2020-06-11,QQQ,0.10669868437362529,1,1,1,1
